orcid_id,code,country
0000-0001-5522-2143,MSU,RU
0000-0001-5524-4748,MIT,BR
0000-0001-5528-0079,MSU,RU
0000-0001-5536-4707,MIT,IL
0000-0001-5538-4361,MIT,US
0000-0001-5539-5706,MSU,RU
0000-0001-5539-9758,SPbSU,RU
0000-0001-5542-6314,MIT,US
0000-0001-5544-1426,MIT,PR
0000-0001-5548-8603,MIT,US
0000-0001-5549-4675,MIT,CA
0000-0001-5557-3189,SPbSU,RU
0000-0001-5557-3189,SPbSU,RU
0000-0001-5557-3189,MSU,RU
0000-0001-5559-4190,MIT,US
0000-0001-5561-8375,MSU,RU
0000-0001-5561-8375,MSU,RU
0000-0001-5563-7840,SPbSU,FI
0000-0001-5566-3731,MIT,US
0000-0001-5567-8554,SPbSU,RU
0000-0001-5570-3449,MIT,US
0000-0001-5580-5971,MIPT,JP
0000-0001-5584-1251,MSU,RU
0000-0001-5587-4133,MSU,RU
0000-0001-5593-2188,MIT,DK
0000-0001-5595-9954,MIT,US
0000-0001-5598-5810,MIT,ES
0000-0001-5599-4960,MIT,US
0000-0001-5599-4960,MIT,US
0000-0001-5605-0232,MIPT,RU
0000-0001-5608-9110,MSU,RU
0000-0001-5608-9110,MSU,RU
0000-0001-5610-1474,MSU,RU
0000-0001-5610-6507,MIT,US
0000-0001-5611-1998,MIT,SN
0000-0001-5612-5417,MIT,GB
0000-0001-5615-1391,MSU,RU
0000-0001-5615-1391,MSU,RU
0000-0001-5623-0874,MIT,CA
0000-0001-5623-8534,SPbSU,RU
0000-0001-5625-1675,MIT,US
0000-0001-5631-0620,MIT,DE
0000-0001-5635-6207,MSU,RU
0000-0001-5653-2792,MSU,RU
0000-0001-5653-8668,MSU,RU
0000-0001-5654-4291,MSU,RU
0000-0001-5657-7309,MSU,RU
0000-0001-5659-1389,SPbSU,RU
0000-0001-5662-3643,MIT,US
0000-0001-5666-3215,MIT,US
0000-0001-5670-8938,MIT,US
0000-0001-5676-4817,MIT,US
0000-0001-5680-1067,MIT,US
0000-0001-5689-040X,MSU,CA
0000-0001-5690-770X,MIT,US
0000-0001-5690-770X,MIT,US
0000-0001-5691-0861,MIT,US
0000-0001-5694-9459,MSU,KZ
0000-0001-5699-740X,MIT,CH
0000-0001-5700-4270,MSU,RU
0000-0001-5700-5652,MSU,RU
0000-0001-5704-9153,MSU,RU
0000-0001-5704-9153,MSU,RU
0000-0001-5706-3940,MIT,US
0000-0001-5706-621X,MSU,RU
0000-0001-5712-2170,SPbSU,GB
0000-0001-5715-0067,MSU,RU
0000-0001-5715-0067,MSU,RU
0000-0001-5716-0476,MSU,RU
0000-0001-5716-0476,MSU,RU
0000-0001-5717-6873,MIPT,RU
0000-0001-5717-6873,MIPT,RU
0000-0001-5717-9249,MSU,GB
0000-0001-5717-9249,MSU,GB
0000-0001-5720-7924,MIT,US
0000-0001-5722-6922,MSU,RU
0000-0001-5723-309X,SPbSU,RU
0000-0001-5726-2587,MIT,US
0000-0001-5731-501X,MIT,US
0000-0001-5734-7601,MIT,US
0000-0001-5736-0646,MSU,RU
0000-0001-5739-4627,MIT,NL
0000-0001-5739-4627,MIT,NL
0000-0001-5740-1428,MSU,RU
0000-0001-5742-3395,MIT,US
0000-0001-5743-2769,SPbSU,RU
0000-0001-5749-0061,MSU,RU
0000-0001-5750-5366,MSU,RU
0000-0001-5751-9100,MIT,US
0000-0001-5751-9821,SPbSU,RU
0000-0001-5755-1231,SPbSU,RU
0000-0001-5755-1231,SPbSU,RU
0000-0001-5757-0248,MIT,US
0000-0001-5757-0248,MIT,US
0000-0001-5761-137X,MSU,TW
0000-0001-5761-137X,MSU,TW
0000-0001-5762-1770,MSU,RU
0000-0001-5762-1770,MSU,RU
0000-0001-5762-6037,MIT,FR
0000-0001-5762-6379,MIT,US
0000-0001-5765-0408,MSU,UZ
0000-0001-5766-5765,MIT,GB
0000-0001-5766-8376,MIT,US
0000-0001-5773-3211,MIT,US
0000-0001-5776-865X,MIPT,RU
0000-0001-5780-3849,MSU,RU
0000-0001-5787-2035,MSU,IE
0000-0001-5789-1818,MSU,RU
0000-0001-5791-8478,MSU,RU
0000-0001-5794-7631,MSU,KR
0000-0001-5794-7631,MSU,KR
0000-0001-5794-8490,MIT,US
0000-0001-5794-9418,MIT,US
0000-0001-5795-0216,MIT,HK
0000-0001-5801-8930,SPbSU,RU
0000-0001-5803-3268,MIT,NO
0000-0001-5804-8072,MIT,US
0000-0001-5813-4659,MIT,US
0000-0001-5813-8289,MIT,US
0000-0001-5815-895X,MIT,US
0000-0001-5816-3505,SPbSU,UA
0000-0001-5821-1677,MSU,RU
0000-0001-5823-2785,MIPT,KZ
0000-0001-5827-984X,SPbSU,RU
0000-0001-5828-4243,SPbSU,RU
0000-0001-5828-4403,MIT,US
0000-0001-5828-4403,MIT,US
0000-0001-5829-3705,MIT,SA
0000-0001-5833-6808,SPbSU,RU
0000-0001-5835-4926,MIT,US
0000-0001-5835-4926,MIT,US
0000-0001-5844-3064,MSU,DE
0000-0001-5847-5568,MSU,RU
0000-0001-5848-005X,MIPT,FR
0000-0001-5849-2552,MIT,US
0000-0001-5855-3378,MIT,US
0000-0001-5859-812X,MSU,RU
0000-0001-5863-109X,MIT,US
0000-0001-5868-9822,MIT,US
0000-0001-5869-3207,SPbSU,RU
0000-0001-5871-6552,MIPT,US
0000-0001-5871-7926,MIPT,RU
0000-0001-5876-7456,SPbSU,RU
0000-0001-5876-8854,MIT,US
0000-0001-5884-2970,SPbSU,RU
0000-0001-5891-0689,MIT,US
0000-0001-5894-8724,MSU,AT
0000-0001-5894-9524,MSU,RU
0000-0001-5894-9524,MSU,RU
0000-0001-5896-648X,MSU,RU
0000-0001-5897-9547,SPbSU,RU
0000-0001-5900-9075,SPbSU,RU
0000-0001-5906-7777,SPbSU,RU
0000-0001-5906-7777,SPbSU,RU
0000-0001-5908-3064,MIT,US
0000-0001-5909-3051,MIT,US
0000-0001-5913-4263,SPbSU,ES
0000-0001-5914-1797,MSU,RU
0000-0001-5914-3530,MIPT,RU
0000-0001-5914-7662,MSU,RU
0000-0001-5916-5916,MSU,UA
0000-0001-5916-8869,MSU,RU
0000-0001-5916-8869,MSU,RU
0000-0001-5919-8734,MIT,US
0000-0001-5923-5099,MIT,US
0000-0001-5928-1482,MSU,RU
0000-0001-5928-1482,MSU,RU
0000-0001-5937-1525,MIT,US
0000-0001-5940-055X,MSU,RU
0000-0001-5945-2210,SPbSU,RU
0000-0001-5951-5779,SPbSU,RU
0000-0001-5953-0266,MIPT,RU
0000-0001-5953-0266,MIPT,RU
0000-0001-5953-5403,SPbSU,RU
0000-0001-5963-8808,MIT,US
0000-0001-5967-0840,MIPT,RU
0000-0001-5967-8631,MSU,RU
0000-0001-5969-2986,MIT,US
0000-0001-5970-2240,MSU,RU
0000-0001-5977-5060,MIT,US
0000-0001-5977-5060,MIT,US
0000-0001-5979-5774,MIT,KR
0000-0001-5979-5774,MIT,KR
0000-0001-5980-2882,SPbSU,RU
0000-0001-5982-4627,SPbSU,RU
0000-0001-5985-3348,MIT,US
0000-0001-5985-691X,MIT,ES
0000-0001-5989-6479,MIT,US
0000-0001-5996-8217,MIT,US
0000-0001-5997-5046,MIT,US
0000-0001-5998-1446,MIT,IT
0000-0001-5998-6781,MSU,RU
0000-0001-5998-8904,MIT,US
0000-0001-5999-4917,MIT,US
0000-0001-6004-3457,MSU,RU
0000-0001-6004-5524,MIT,US
0000-0001-6004-9752,MSU,RU
0000-0001-6012-6615,SPbSU,RU
0000-0001-6012-6615,SPbSU,RU
0000-0001-6012-6615,SPbSU,RU
0000-0001-6028-8083,MIT,US
0000-0001-6030-2180,MIT,US
0000-0001-6034-6458,MIT,US
0000-0001-6034-7143,MSU,RU
0000-0001-6034-7143,MSU,RU
0000-0001-6038-3603,MIT,US
0000-0001-6039-2198,MIT,US
0000-0001-6044-2300,MIT,US
0000-0001-6044-2300,MIT,US
0000-0001-6049-3159,MSU,RU
0000-0001-6053-2621,MSU,RU
0000-0001-6053-2621,MSU,RU
0000-0001-6055-1654,MSU,RU
0000-0001-6056-1027,MSU,RU
0000-0001-6059-4777,MIPT,SE
0000-0001-6062-2918,MIT,US
0000-0001-6063-023X,MIT,US
0000-0001-6067-307X,MIT,US
0000-0001-6068-9266,MIT,US
0000-0001-6069-1892,MSU,RU
0000-0001-6072-2353,MSU,GB
0000-0001-6073-0708,MSU,RU
0000-0001-6073-6237,MIT,US
0000-0001-6073-9884,MSU,RU
0000-0001-6078-4650,MSU,RU
0000-0001-6079-7355,SPbSU,RU
0000-0001-6080-4463,MSU,RU
0000-0001-6080-4463,MSU,RU
0000-0001-6082-8385,MIT,US
0000-0001-6083-5825,MIT,US
0000-0001-6086-7309,MSU,NZ
0000-0001-6086-7309,MSU,NZ
0000-0001-6087-0962,MSU,RU
0000-0001-6088-0888,MIT,US
0000-0001-6088-0888,MIT,US
0000-0001-6088-0888,MIT,US
0000-0001-6090-4579,MSU,RU
0000-0001-6092-6305,MIT,US
0000-0001-6092-6305,MIT,US
0000-0001-6100-6869,MIPT,US
0000-0001-6100-6869,MIPT,US
0000-0001-6110-4258,SPbSU,RU
0000-0001-6122-0638,MSU,RU
0000-0001-6125-5814,MIT,US
0000-0001-6128-958X,MIPT,FR
0000-0001-6129-6499,MIPT,IE
0000-0001-6131-5725,MIT,US
0000-0001-6131-5725,MIT,US
0000-0001-6137-0476,SPbSU,RU
0000-0001-6141-458X,MSU,US
0000-0001-6141-458X,MSU,US
0000-0001-6147-0485,MIT,US
0000-0001-6148-1256,SPbSU,RU
0000-0001-6149-441X,MIT,GR
0000-0001-6151-1478,MSU,RU
0000-0001-6152-5685,MSU,RU
0000-0001-6156-5046,MIT,US
0000-0001-6166-2321,SPbSU,RU
0000-0001-6167-5405,MSU,RU
0000-0001-6169-6804,MSU,CH
0000-0001-6169-6804,MSU,CH
0000-0001-6170-6750,MIPT,US
0000-0001-6170-8633,MIT,US
0000-0001-6171-2325,MIT,US
0000-0001-6174-3391,MIT,US
0000-0001-6178-5620,MIT,US
0000-0001-6181-6669,MIT,PT
0000-0001-6181-6669,MIT,PT
0000-0001-6186-2462,MSU,RU
0000-0001-6187-7381,MIT,CN
0000-0001-6190-5186,MIT,US
0000-0001-6198-3299,MSU,RU
0000-0001-6198-3299,MSU,RU
0000-0001-6200-7863,MIT,US
0000-0001-6211-7018,MIT,AU
0000-0001-6216-3989,MSU,RU
0000-0001-6220-0436,MIT,US
0000-0001-6220-4701,MSU,US
0000-0001-6220-4701,MSU,US
0000-0001-6226-2530,MSU,RU
0000-0001-6228-5599,MIT,US
0000-0001-6230-3099,MSU,RU
0000-0001-6231-1611,MSU,RU
0000-0001-6234-4560,MIT,AU
0000-0001-6239-0241,SPbSU,RU
0000-0001-6239-0241,SPbSU,RU
0000-0001-6241-6800,SPbSU,RU
0000-0001-6243-868X,MIT,US
0000-0001-6246-0713,MSU,RU
0000-0001-6247-4162,MSU,RU
0000-0001-6254-225X,MIT,US
0000-0001-6255-3303,MSU,PT
0000-0001-6259-1043,MIPT,US
0000-0001-6260-4326,SPbSU,US
0000-0001-6262-655X,MIT,US
0000-0001-6263-375X,MIT,US
0000-0001-6263-375X,MIT,US
0000-0001-6263-5974,MIT,SG
0000-0001-6263-770X,SPbSU,RU
0000-0001-6265-4462,SPbSU,RU
0000-0001-6270-2604,MSU,RU
0000-0001-6270-2604,MSU,RU
0000-0001-6272-1266,MIT,US
0000-0001-6274-058X,MSU,RU
0000-0001-6275-7517,MSU,RU
0000-0001-6280-5312,MSU,RU
0000-0001-6281-8148,SPbSU,RU
0000-0001-6286-8807,MIPT,RU
0000-0001-6287-8124,MSU,RU
0000-0001-6288-0400,MIT,GB
0000-0001-6292-0070,MSU,RU
0000-0001-6292-0070,MSU,RU
0000-0001-6293-1589,MIT,US
0000-0001-6294-0602,MSU,DE
0000-0001-6294-0602,MSU,DE
0000-0001-6295-1440,SPbSU,US
0000-0001-6295-1440,SPbSU,US
0000-0001-6296-2617,MIT,US
0000-0001-6297-1337,MIPT,RU
0000-0001-6299-0036,MSU,RU
0000-0001-6302-6038,MIT,JP
0000-0001-6306-5934,MSU,RU
0000-0001-6306-777X,MSU,RU
0000-0001-6309-3433,SPbSU,RU
0000-0001-6309-5834,SPbSU,RU
0000-0001-6315-008X,MIT,US
0000-0001-6315-163X,MIPT,RU
0000-0001-6315-163X,MIPT,RU
0000-0001-6315-3707,MIT,US
0000-0001-6317-5957,SPbSU,RU
0000-0001-6322-8852,MIT,US
0000-0001-6323-3547,SPbSU,NO
0000-0001-6324-4123,MSU,GB
0000-0001-6324-4123,MSU,GB
0000-0001-6335-471X,MIT,US
0000-0001-6335-471X,MIT,US
0000-0001-6340-211X,MIPT,CH
0000-0001-6340-211X,MIPT,CH
0000-0001-6342-4407,MSU,RU
0000-0001-6349-0949,SPbSU,RU
0000-0001-6358-526X,MSU,NZ
0000-0001-6359-0608,MIT,US
0000-0001-6362-4134,MIT,US
0000-0001-6363-5175,MSU,RU
0000-0001-6363-5175,MSU,RU
0000-0001-6365-3373,SPbSU,RU
0000-0001-6371-0657,MIT,US
0000-0001-6374-403X,MSU,RU
0000-0001-6374-8217,MIT,US
0000-0001-6375-7033,SPbSU,RU
0000-0001-6376-2473,MSU,RU
0000-0001-6376-2473,MSU,RU
0000-0001-6379-8193,MIT,US
0000-0001-6379-9890,MIT,US
0000-0001-6380-3458,MIT,US
0000-0001-6381-8705,SPbSU,RU
0000-0001-6382-1787,MIPT,RU
0000-0001-6384-8023,MIT,US
0000-0001-6385-1396,MIT,US
0000-0001-6386-5878,MIT,US
0000-0001-6386-5878,MIT,US
0000-0001-6387-3923,MSU,RU
0000-0001-6387-3923,MSU,RU
0000-0001-6387-8564,MIT,LB
0000-0001-6392-0902,MIT,ES
0000-0001-6392-2844,MIPT,DE
0000-0001-6392-4794,MIT,US
0000-0001-6394-8710,MSU,DE
0000-0001-6395-7422,MIT,US
0000-0001-6398-261X,MIPT,US
0000-0001-6401-0126,MIT,US
0000-0001-6402-5010,MSU,RU
0000-0001-6405-7645,MIPT,RU
0000-0001-6412-7500,MIT,US
0000-0001-6414-2137,MIPT,RU
0000-0001-6414-2137,MIPT,RU
0000-0001-6414-2137,MIPT,RU
0000-0001-6418-1785,MIT,US
0000-0001-6418-2155,MIT,US
0000-0001-6418-2155,MIT,US
0000-0001-6418-6383,MIT,US
0000-0001-6418-6383,MIT,US
0000-0001-6422-7069,MIT,US
0000-0001-6424-1282,MSU,RU
0000-0001-6425-5211,MIPT,RU
0000-0001-6435-0227,MIT,CH
0000-0001-6435-7218,SPbSU,RU
0000-0001-6436-846X,MIPT,US
0000-0001-6440-0087,MIPT,IT
0000-0001-6440-6139,MSU,RU
0000-0001-6441-5166,MSU,RU
0000-0001-6443-624X,MIT,BE
0000-0001-6446-1808,SPbSU,RU
0000-0001-6448-2078,SPbSU,RU
0000-0001-6451-5028,SPbSU,RU
0000-0001-6451-7963,MIT,US
0000-0001-6459-2170,MSU,RU
0000-0001-6462-4822,MIT,US
0000-0001-6465-1687,MSU,CH
0000-0001-6470-5286,SPbSU,RU
0000-0001-6474-6264,MSU,RU
0000-0001-6474-6264,MSU,RU
0000-0001-6475-5419,MSU,RU
0000-0001-6476-8412,MIT,US
0000-0001-6478-2214,SPbSU,RU
0000-0001-6479-3335,MIT,CH
0000-0001-6480-6212,MIT,DE
0000-0001-6483-8994,MSU,RU
0000-0001-6483-8994,MSU,RU
0000-0001-6489-4160,MSU,CA
0000-0001-6489-4160,MSU,CA
0000-0001-6489-4160,MSU,CA
0000-0001-6490-6491,SPbSU,RU
0000-0001-6493-3190,MIPT,FR
0000-0001-6497-2368,MIT,CN
0000-0001-6498-9987,SPbSU,RU
0000-0001-6498-9987,SPbSU,RU
0000-0001-6506-3123,MSU,RU
0000-0001-6506-3123,MSU,RU
0000-0001-6510-6904,MSU,RU
0000-0001-6519-1547,MIPT,US
0000-0001-6519-3120,MIT,US
0000-0001-6519-3120,MIT,US
0000-0001-6520-2242,SPbSU,RU
0000-0001-6524-3394,MIT,US
0000-0001-6525-7083,MIT,GB
0000-0001-6526-1859,MIT,US
0000-0001-6526-1859,MIT,US
0000-0001-6534-6166,MIPT,US
0000-0001-6534-6166,MIPT,US
0000-0001-6534-7708,MSU,RU
0000-0001-6535-9741,MSU,RU
0000-0001-6536-1825,MIT,US
0000-0001-6536-1825,MIT,US
0000-0001-6543-7674,MSU,SE
0000-0001-6544-2764,MIT,US
0000-0001-6544-9608,MSU,RU
0000-0001-6554-6870,MIT,US
0000-0001-6557-6172,MIT,US
0000-0001-6558-0112,MIT,US
0000-0001-6559-6931,SPbSU,RU
0000-0001-6563-1143,MIT,US
0000-0001-6564-3910,MIPT,RU
0000-0001-6564-5959,SPbSU,RU
0000-0001-6570-6002,MIT,US
0000-0001-6574-5538,MIPT,RU
0000-0001-6577-6385,MIT,US
0000-0001-6579-2908,MIT,US
0000-0001-6579-4276,MSU,RU
0000-0001-6579-4276,MSU,RU
0000-0001-6579-4276,MSU,RU
0000-0001-6579-4276,MSU,RU
0000-0001-6580-4921,MIT,US
0000-0001-6585-9463,MSU,RU
0000-0001-6591-1348,MSU,RU
0000-0001-6592-056X,SPbSU,RU
0000-0001-6595-0769,SPbSU,RU
0000-0001-6600-9647,MSU,RU
0000-0001-6602-6500,MIT,US
0000-0001-6603-7912,MSU,RU
0000-0001-6609-4087,MSU,RU
0000-0001-6609-7042,MIT,US
0000-0001-6609-7042,MIT,US
0000-0001-6610-2534,SPbSU,RU
0000-0001-6610-7677,MSU,RU
0000-0001-6610-7677,MSU,RU
0000-0001-6610-9525,MIT,US
0000-0001-6612-5373,MSU,RU
0000-0001-6612-5373,MSU,RU
0000-0001-6612-9024,MSU,RU
0000-0001-6615-5652,MIPT,RU
0000-0001-6617-3404,SPbSU,RU
0000-0001-6629-3377,MSU,AT
0000-0001-6629-3377,MSU,AT
0000-0001-6629-6041,SPbSU,RU
0000-0001-6632-6802,MIT,CA
0000-0001-6636-0445,MIT,US
0000-0001-6636-0517,MIT,US
0000-0001-6637-9664,MIT,US
0000-0001-6637-9808,MIT,US
0000-0001-6640-2481,MSU,RU
0000-0001-6641-663X,MSU,RU
0000-0001-6641-6744,SPbSU,RU
0000-0001-6641-7595,MIT,US
0000-0001-6642-2466,MIPT,RU
0000-0001-6649-0469,MIPT,RU
0000-0001-6649-2384,MSU,CN
0000-0001-6663-627X,MIT,US
0000-0001-6665-7230,MIT,US
0000-0001-6668-8221,MIT,US
0000-0001-6677-7427,SPbSU,RU
0000-0001-6677-7427,SPbSU,RU
0000-0001-6677-7427,SPbSU,RU
0000-0001-6679-2889,MIT,IE
0000-0001-6682-1424,MSU,KZ
0000-0001-6682-3374,MIT,US
0000-0001-6683-9296,MIT,KR
0000-0001-6685-2351,MIPT,GB
0000-0001-6686-730X,MIT,US
0000-0001-6689-448X,MIPT,DE
0000-0001-6692-8432,SPbSU,RU
0000-0001-6692-8432,SPbSU,RU
0000-0001-6694-6761,MIT,US
0000-0001-6695-0533,MIT,NZ
0000-0001-6697-0200,MIT,US
0000-0001-6698-6413,MIT,US
0000-0001-6702-7572,SPbSU,US
0000-0001-6719-5381,MSU,RU
0000-0001-6719-5381,MSU,RU
0000-0001-6721-5506,MIT,US
0000-0001-6724-0955,SPbSU,RU
0000-0001-6724-4366,MIT,US
0000-0001-6724-4956,MSU,UA
0000-0001-6726-122X,MIT,CA
0000-0001-6726-122X,MIT,CA
0000-0001-6728-3058,MIPT,UA
0000-0001-6729-4275,SPbSU,RU
0000-0001-6732-3726,MIT,US
0000-0001-6733-2905,MIPT,US
0000-0001-6739-7338,MIPT,RU
0000-0001-6739-7338,MIPT,RU
0000-0001-6742-7592,MIT,US
0000-0001-6745-6035,SPbSU,RU
0000-0001-6745-6035,SPbSU,RU
0000-0001-6749-0575,MIT,US
0000-0001-6756-5354,MIPT,RU
0000-0001-6758-1389,MSU,CA
